"","revenue","vote_average","genre.1","genre.2","genre.3","Director","actor.1","actor.2","actor.3","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western"
"91",1056057273,7.5,"Action","Adventure","Science Fiction","Tony Gilroy","Felicity Jones","Diego Luna","Alan Tudyk","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"92",623722818,7.7,"Animation","Comedy","Family","Brad Bird","Patton Oswalt","Ian Holm","Lou Romano","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"93",531865000,6.7,"Action","Drama","Horror","Marc Forster","Brad Pitt","Mireille Enos","Daniella Kertesz","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"94",920100000,7.9,"Adventure","Science Fiction","NULL","Steven Spielberg","Sam Neill","Laura Dern","Jeff Goldblum","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"95",585410052,7.1,"Drama","Horror","Action","Francis Lawrence","Will Smith","Alice Braga","Charlie Tahan","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"96",484409218,7.6,"Adventure","Animation","Comedy","Andrew Adamson","Mike Myers","Eddie Murphy","Cameron Diaz","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97",1332539889,7,"Science Fiction","Action","Adventure","Rian Johnson","Mark Hamill","Carrie Fisher","Adam Driver","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"98",524028679,7.2,"Action","Adventure","Crime","Guy Ritchie","Robert Downey Jr.","Jude Law","Rachel McAdams","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"99",272742922,8.3,"Crime","Drama","Thriller","Jonathan Demme","Jodie Foster","Anthony Hopkins","Scott Glenn","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0"
"100",481840909,8.1,"Drama","History","War","Steven Spielberg","Tom Hanks","Matt Damon","Tom Sizemore","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"101",623933331,6.8,"Adventure","Action","Science Fiction","Jon Favreau","Robert Downey Jr.","Gwyneth Paltrow","Don Cheadle","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"102",374218673,7.7,"Action","Crime","Drama","Christopher Nolan","Christian Bale","Michael Caine","Liam Neeson","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"103",735099082,7.9,"Animation","Comedy","Family","Pete Docter","Ed Asner","Jordan Nagai","Christopher Plummer","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"104",619021436,7.8,"Action","Drama","Science Fiction","James Mangold","Hugh Jackman","Patrick Stewart","Dafne Keen","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"105",876688482,7.7,"Adventure","Fantasy","NULL","Chris Columbus","Daniel Radcliffe","Rupert Grint","Emma Watson","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"106",880166924,7.4,"Action","Adventure","Science Fiction","Jon Watts","Tom Holland","Michael Keaton","Robert Downey Jr.","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"107",630161890,7.7,"Drama","Adventure","Science Fiction","Ridley Scott","Matt Damon","Jessica Chastain","Kristen Wiig","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"108",519311965,7.1,"Science Fiction","Action","Adventure","Peyton Reed","Paul Rudd","Michael Douglas","Evangeline Lilly","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"109",809342332,7.4,"Adventure","Family","Fantasy","David Yates","Eddie Redmayne","Colin Farrell","Katherine Waterston","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"110",853977126,7.6,"Action","Adventure","Comedy","Taika Waititi","Chris Hemsworth","Tom Hiddleston","Cate Blanchett","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111",789804554,8,"Adventure","Fantasy","NULL","Alfonso Cuarón","Daniel Radcliffe","Rupert Grint","Emma Watson","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"112",1341511219,8.1,"Fantasy","Adventure","NULL","David Yates","Daniel Radcliffe","Rupert Grint","Emma Watson","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"113",775398007,8.2,"Adventure","Action","Science Fiction","George Lucas","Mark Hamill","Harrison Ford","Carrie Fisher","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"114",940335536,7.8,"Animation","Family","NULL","Andrew Stanton","Albert Brooks","Ellen DeGeneres","Alexander Gould","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"115",700381748,7.2,"Horror","NULL","NULL","Andy Muschietti","Jaeden Martell","Jeremy Ray Taylor","Sophia Lillis","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"116",1021103568,7.3,"Adventure","Fantasy","Action","Peter Jackson","Ian McKellen","Martin Freeman","Richard Armitage","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"117",2797800564,8.3,"Adventure","Science Fiction","Action","Anthony Russo","Robert Downey Jr.","Chris Evans","Mark Ruffalo","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"118",873634919,5.8,"Action","Adventure","Fantasy","Zack Snyder","Ben Affleck","Henry Cavill","Gal Gadot","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"119",895921036,7.8,"Adventure","Fantasy","Family","Mike Newell","Daniel Radcliffe","Rupert Grint","Emma Watson","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"120",381109762,8.3,"Adventure","Comedy","Science Fiction","Robert Zemeckis","Michael J. Fox","Christopher Lloyd","Lea Thompson","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"121",532950503,7.5,"Western","Drama","Adventure","Alejandro González Iñárritu","Leonardo DiCaprio","Tom Hardy","Domhnall Gleeson","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"122",327311859,8.3,"Crime","Mystery","Thriller","David Fincher","Brad Pitt","Morgan Freeman","Kevin Spacey","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
"123",1074251311,8.2,"Crime","Thriller","Drama","Todd Phillips","Joaquin Phoenix","Robert De Niro","Zazie Beetz","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0"
"124",938212738,7.7,"Adventure","Fantasy","Mystery","David Yates","Daniel Radcliffe","Rupert Grint","Emma Watson","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"125",714766572,7.7,"Action","Adventure","Science Fiction","Anthony Russo","Chris Evans","Samuel L. Jackson","Scarlett Johansson","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"126",521311860,8,"Animation","Family","Science Fiction","Andrew Stanton","Ben Burtt","Elissa Knight","Jeff Garlin","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"127",954305868,7.8,"Adventure","Fantasy","NULL","David Yates","Daniel Radcliffe","Emma Watson","Rupert Grint","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"128",88761661,7.3,"Action","Thriller","NULL","Chad Stahelski","Keanu Reeves","Michael Nyqvist","Alfie Allen","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"129",847423452,7.4,"Adventure","Action","Science Fiction","Francis Lawrence","Jennifer Lawrence","Josh Hutcherson","Liam Hemsworth","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"130",562816256,7.8,"Animation","Comedy","Family","Pete Docter","John Goodman","Billy Crystal","Mary Gibbs","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"131",933959197,7.7,"Adventure","Fantasy","NULL","David Yates","Daniel Radcliffe","Rupert Grint","Emma Watson","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"132",369330363,7.9,"Mystery","Thriller","Drama","David Fincher","Ben Affleck","Rosamund Pike","Kim Dickens","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0"
"133",631442092,7.7,"Action","Adventure","Animation","Brad Bird","Craig T. Nelson","Holly Hunter","Samuel L. Jackson","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134",373554033,7.9,"Animation","Comedy","Family","John Lasseter","Tom Hanks","Tim Allen","Don Rickles","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"135",1263521126,6.9,"Family","Fantasy","Romance","Bill Condon","Emma Watson","Dan Stevens","Luke Evans","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0"
"136",278454358,7.3,"Horror","Thriller","NULL","M. Night Shyamalan","James McAvoy","Anya Taylor-Joy","Betty Buckley","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"137",245066411,8.7,"Drama","Crime","NULL","Francis Ford Coppola","Marlon Brando","Al Pacino","James Caan","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"138",203388186,7.5,"Drama","Science Fiction","Mystery","Denis Villeneuve","Amy Adams","Jeremy Renner","Forest Whitaker","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0"
"139",233555708,8.1,"History","Drama","Thriller","Morten Tyldum","Benedict Cumberbatch","Keira Knightley","Matthew Goode","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0"
"140",825532764,8.3,"Action","Science Fiction","Adventure","Christopher Nolan","Leonardo DiCaprio","Joseph Gordon-Levitt","Ellen Page","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
